Codigo;Nombre;CodigoPadre
G82;PARAPLEJIA Y CUADRIPLEJIA;NULL
G820;PARAPLEJIA FLACIDA;G82
G821;PARAPLEJIA ESPASTICA;G82
G822;PARAPLEJIA, NO ESPECIFICADA;G82
G823;CUADRIPLEJIA FLACIDA;G82
G824;CUADRIPLEJIA ESPASTICA;G82
G825;CUADRIPLEJIA, NO ESPECIFICADA;G82
G83;OTROS SINDROMES PARALITICOS;NULL
G830;DIPLEJIA DE LOS MIEMBROS SUPERIORES;G83
G831;MONOPLEJIA DEL MIEMBRO INFERIOR;G83
G832;MONOPLEJIA DEL MIEMBRO SUPERIOR;G83
G833;MONOPLEJIA, NO ESPECIFICADA;G83
G834;SINDROME DE LA COLA DE CABALLO;G83
G838;OTROS SINDROMES PARALITICOS ESPECIFICADOS;G83
G839;SINDROME PARALITICO, NO ESPECIFICADO;G83
G90;TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO;NULL
G900;NEUROPATIA AUTONOMA PERIFERICA IDIOPATICA;G90
G901;DISAUTONOMIA FAMILIAR [SINDROME DE RILEY-DAY];G90
G902;SINDROME DE HORNER;G90
G903;DEGENERACION DE SISTEMAS MULTIPLES;G90
G908;OTROS TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO;G90
G909;TRASTORNO DEL SISTEMA NERVIOSO AUTONOMO, NO ESPECIFICADO;G90
G91;HIDROCEFALO;NULL
G910;HIDROCEFALO COMUNICANTE;G91
G911;HIDROCEFALO OBSTRUCTIVO;G91
G912;HIDROCEFALO DE PRESION NORMAL;G91
G913;HIDROCEFALO POSTRAUMATICO, SIN OTRA ESPECIFICACION;G91
G918;OTROS TIPOS DE HIDROCEFALO;G91
G919;HIDROCEFALO, NO ESPECIFICADO;G91
G92;ENCEFALOPATIA TOXICA;NULL
G93;OTROS TRASTORNOS DEL ENCEFALO;NULL
G930;QUISTE CEREBRAL;G93
G931;LESION CEREBRAL ANOXICA, NO CLASIFICADA EN OTRA PARTE;G93
G932;HIPERTENSION INTRACRANEAL BENIGNA;G93
G933;SINDROME DE FATIGA POSTVIRAL;G93
G934;ENCEFALOPATIA NO ESPECIFICADA;G93
G935;COMPRESION DEL ENCEFALO;G93
G936;EDEMA CEREBRAL;G93
G937;SINDROME DE REYE;G93
G938;OTROS TRASTORNOS ESPECIFICADOS DEL ENCEFALO;G93
G939;TRASTORNO DEL ENCEFALO, NO ESPECIFICADO;G93
G94;OTROS TRASTORNOS DEL ENCEFALO EN ENFERMEDADES CLASIFICADAS OTRA PARTE;NULL
G940;HIDROCEFALO EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE (A00-B99);G94
G941;HIDROCEFALO EN ENFERMEDAD NEOPLASICA (C00-D48);G94
G942;HIDROCEFALO EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G94
G948;OTROS TRASTORNOS ENCEFALITICOS ESPECIFICADOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G94
G95;OTRAS ENFERMEDADES DE LA MEDULA ESPINAL;NULL
G950;SIRINGOMIELIA Y SIRINGOBULBIA;G95
G951;MIELOPATIAS VASCULARES;G95
G952;COMPRESION MEDULAR, NO ESPECIFICADA;G95
G958;OTRAS ENFERMEDADES ESPECIFICADAS DE LA MEDULA ESPINAL;G95
G959;ENFERMEDAD DE LA MEDULA ESPINAL, NO ESPECIFICADA;G95
G96;OTROS TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL;NULL
G960;PERDIDA DE LIQUIDO CEFALORRAQUIDEO;G96
G961;TRASTORNOS DE LA MENINGES, NO CLASIFICADOS EN OTRA PARTE;G96
G968;OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO CENTRAL;G96
G969;TRASTORNO DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADO;G96
G97;TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE;NULL
G970;PERDIDA DE LIQUIDO CEFALORRAQUIDEO POR PUNCION ESPINAL;G97
G971;OTRA REACCION A LA PUNCION ESPINAL Y LUMBAR;G97
G972;HIPOTENSION INTRACRANEAL POSTERIOR A ANASTOMOSIS VENTRICULAR;G97
G978;OTROS TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS;G97
G979;TRASTORNOS NO ESPECIFICADOS DEL SISTEMA NERVIOSO, CONSECUTIVOS A PROCEDIMIENTOS;G97
G98;OTROS TRASTORNOS DEL SISTEMA NERVIOSO, NO CLASIFICADOS EN OTRA PARTE;NULL
G99;OTROS TRASTORNOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADAS OTRA PARTE;NULL
G990;NEUROPATIA AUTONOMICA EN ENFERNEDADES METABOLICAS Y ENDOCRINAS;G99
G991;OTROS TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G99
G992;MIELOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G99
G998;OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G99
H00;ORZUELO Y CALACIO;NULL
H000;ORZUELO Y OTRAS INFLAMACIONES PROFUNDAS DEL PARPADO;H00
H001;CALACIO [CHALAZION];H00
H01;OTRAS INFLAMACIONES DEL PARPADO;NULL
H010;BLEFARITIS;H01
H011;DERMATOSIS NO INFECCIOSA DEL PARPADO;H01
H018;OTRAS INFLAMACIONES ESPECIFICADAS DEL PARPADO;H01
H019;INFLAMACION DEL PARPADO, NO ESPECIFICADA;H01
H02;OTROS TRASTORNOS DE LOS PARPADOS;NULL
H020;ENTROPION Y TRIQUIASIS PALPEBRAL;H02
H021;ECTROPION DEL PARPADO;H02
H022;LAGOFTALMOS;H02
H023;BLEFAROCALASIA;H02
H024;BLEFAROPTOSIS;H02
H025;OTROS TRASTORNOS FUNCIONALES DEL PARPADO;H02
H026;XANTELASMA DEL PARPADO;H02
H027;OTROS TRASTORNOS DEGENERATIVOS DEL PARPADO Y DEL AREA PERIOCULAR;H02
H028;OTROS TRASTORNOS ESPECIFICADOS DEL PARPADO;H02
H029;TRASTORNOS DEL PARPADO, NO ESPECIFICADO;H02
H03;TRASTORNOS DEL PARPADO EN ENFERMEDADES CLASIFICADAS OTRA PARTE;NULL
H030;INFECCION E INFESTACION PARASITARIAS DEL PARPADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H03
H031;COMPROMISO DEL PARPADO EN ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE;H03
H038;COMPROMISO DEL PARPADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H03
H04;TRASTORNOS DEL APARATO LAGRIMAL;NULL
H040;DACRIOADENITIS;H04
H041;OTROS TRASTORNOS DE LA GLANDULA LAGRIMAL;H04
H042;EPIFORA;H04
H043;INFLAMACION AGUDA Y LA NO ESPECIFICADA DE LAS VIAS LAGRIMALES;H04
H044;INFLAMACION CRONICA DE LAS VIAS LAGRIMALES;H04
H045;ESTENOSIS E INSUFICIENCIA DE LAS VIAS LAGRIMALES;H04
H046;OTROS CAMBIOS DE LAS VIAS LAGRIMALES;H04
H048;OTROS TRASTORNOS ESPECIFICADOS DEL APARATO LAGRIMAL;H04
H049;TRASTORNO DEL APARATO LAGRIMAL, NO ESPECIFICADO;H04
H05;TRASTORNOS DE LA ORBITA;NULL
H050;INFLAMACION AGUDA DE LA ORBITA;H05
H051;TRASTORNOS INFLAMATORIOS CRONICOS DE LA ORBITA;H05
H052;AFECCIONES EXOFTALMICAS;H05
H053;DEFORMIDAD DE LA ORBITA;H05
H054;ENOFTALMIA;H05
H055;RETENCION DE CUERPO EXTRAÑO (ANTIGUO), CONSECUTIVA A HERIDA PENETRANTE DE LA ORBITA;H05
H058;OTROS TRASTORNOS DE LA ORBITA;H05
H059;TRASTORNO DE LA ORBITA, NO ESPECIFICADO;H05
H06;TRASTORNOS DEL APARATO LAGRIMAL Y DE LA ORBITA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H060;TRASTORNOS DEL APARATO LAGRIMAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H06
H061;INFECCION O INFESTACION PARASITARIA DE LA ORBITA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H06
H062;EXOFTALMIA HIPERTIROIDEA (E05.-);H06
H063;OTROS TRASTORNOS DE LA ORBITA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H06
H10;CONJUNTIVITIS;NULL
H100;CONJUNTIVITIS MUCOPURULENTA;H10
H101;CONJUNTIVITIS ATOPICA AGUDA;H10
H102;OTRAS CONJUNTIVITIS AGUDAS;H10
H103;CONJUNTIVITIS AGUDA, NO ESPECIFICADA;H10
H104;CONJUNTIVITIS CRONICA;H10
H105;BLEFAROCONJUNTIVITIS;H10
H108;OTRAS CONJUNTIVITIS;H10
H109;CONJUNTIVITIS, NO ESPECIFICADA;H10
H11;OTROS TRASTORNOS DE LA CONJUNTIVA;NULL
H110;PTERIGION;H11
H111;DEGENERACIONES Y DEPOSITOS CONJUNTIVALES;H11
H112;CICATRICES CONJUNTIVALES;H11
H113;HEMORRAGIA CONJUNTIVAL;H11
H114;OTROS TRASTORNOS VASCULARES Y QUISTES CONJUNTIVALES;H11
H118;OTROS TRASTORNOS ESPECIFICADOS DE LA CONJUNTIVA;H11
H119;TRASTORNO DE LA CONJUNTIVA, NO ESPECIFICADO;H11
H13;TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS OTRA PARTE;NULL
H130;INFECCION FILARICA DE LA CONJUNTIVA (B74.-);H13
H131;CONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;H13
H132;CONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H13
H133;PENFIGOIDE OCULAR (L12.-);H13
H138;OTROS TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H13
H15;TRASTORNOS DE LA ESCLEROTICA;NULL
H150;ESCLERITIS;H15
H151;EPISCLERITIS;H15
H158;OTROS TRASTORNOS DE LA ESCLEROTICA;H15
H159;TRASTORNOS DE LA ESCLEROTICA, NO ESPECIFICADO;H15
H16;QUERATITIS;NULL
H160;ULCERA DE LA CORNEA;H16
H161;OTRAS QUERATITIS SUPERFICIALES SIN CUNJUNTIVITIS;H16
H162;QUERATOCONJUNTIVITIS;H16
H163;QUERATITIS INTERSTICIAL Y PROFUNDA;H16
H164;NEOVASCULARIZACION DE LA CORNEA;H16
H168;OTRAS QUERATITIS;H16
H169;QUERATITIS, NO ESPECIFICADA;H16
H17;OPACIDADES Y CICATRICES CORNEALES;NULL
H170;LEUCOMA ADHERENTE;H17
H171;OTRAS OPACIDADES CENTRALES DE LA CORNEA;H17
H178;OTRAS OPACIDADES O CICATRICES DE LA CORNEA;H17
H179;CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA;H17
H18;OTROS TRASTORNOS DE LA CORNEA;NULL
H180;PIGMENTACIONES Y DEPOSITOS EN LA CORNEA;H18
H181;QUERATOPATIA VESICULAR;H18
H182;OTROS EDEMAS DE LA CORNEA;H18
H183;CAMBIOS EN LAS MEMBRANAS DE LA CORNEA;H18
H184;DEGENERACION DE LA CORNEA;H18
H185;DISTROFIA HEREDITARIA DE LA CORNEA;H18
H186;QUERATOCONO;H18
H187;OTRAS DEFORMIDADES DE LA CORNEA;H18
H188;OTROS TRASTORNOS ESPECIFICADOS DE LA CORNEA;H18
H189;TRASTORNO DE LA CORNEA, NO ESPECIFICADO;H18
H19;TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H190;ESCLERITIS Y EPISCLERITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H19
H191;QUERATITIS Y QUERATOCONJUNTIVITIS POR HERPES SIMPLE (B00.5);H19
H192;QUERATITIS Y QUERATOCONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS, CLASIFICADAS EN OTRA PARTE;H19
H193;QUERATITIS Y QUERATOCONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H19
H198;OTROS TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H19
H20;IRIDOCICLITIS;NULL
H200;IRIDOCICLITIS AGUDA Y SUBAGUDA;H20
H201;IRIDOCICLITIS CRONICA;H20
H202;IRIDOCICLITIS INDUCIDA POR TRASTORNO DEL CRISTALINO;H20
H208;OTRAS IRIDOCICLITIS ESPECIFICADAS;H20
H209;IRIDOCICLITIS, NO ESPECIFICADA;H20
H21;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR;NULL
H210;HIFEMA;H21
H211;OTROS TRASTORNOS VASCULARES DEL IRIS Y DEL CUERPO CILIAR;H21
H212;DEGENERACION DEL IRIS Y DEL CUERPO CILIAR;H21
H213;QUISTE DEL IRIS, DEL CUERPO CILIAR Y DE LA CAMARA ANTERIOR;H21
H214;MEMBRANAS PUPILARES;H21
H215;OTRAS ADHERENCIAS Y DESGARROS DEL IRIS Y DEL CUERPO CILIAR;H21
H218;OTROS TRASTORNOS ESPECIFICADOS DEL IRIS Y DEL CUERPO CILIAR;H21
H219;DEL IRIS Y DEL CUERPO CILIAR, NO ESPECIFICADO;H21
H22;TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H220;IRIDOCICLITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;H22
H221;IRIDOCICLITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H22
H228;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H22
H25;CATARATA SENIL;NULL
H250;CATARATA SENIL INCIPIENTE;H25
H251;CATARATA SENIL NUCLEAR;H25
H252;CATARATA SENIL, TIPO MORGAGNIAN;H25
H258;OTRAS CATARATAS SENILES;H25
H259;CATARATA SENIL, NO ESPECIFICADA;H25
H26;OTRAS CATARATAS;NULL
H260;CATARATA INFANTIL, JUVENIL Y PRESENIL;H26
H261;CATARATA TRAUMATICA;H26
H262;CATARATA COMPLICADA;H26
H263;CATARATA INDUCIDA POR DROGAS;H26
H264;CATARATA RESIDUAL;H26
H268;OTRAS FORMAS ESPECIFICADAS DE CATARATA;H26
H269;CATARATA, NO ESPECIFICADA;H26
H27;OTROS TRASTORNOS DEL CRISTALINO;NULL
H270;AFAQUIA;H27
H271;LUXACION DEL CRISTALINO;H27
H278;OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO;H27
H279;TRASTORNO DEL CRISTALINO, NO ESPECIFICADO;H27
H28;CATARATA Y OTROS TRASTORNOS DEL CRISTALINO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H280;CATARATA DIABETICA (E10-E14 CON CUARTO CARACTER COMUN .3);H28
H281;CATARATA EN OTRAS ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS CLASIFICADAS EN OTRA PARTE;H28
H282;CATARATA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H28
H288;OTROS TRASTORNOS DEL CRISTALINO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H28
H30;INFLAMACION CORIORRETINIANA;NULL
H300;CORIORRETINITIS FOCAL;H30
H301;CORIORRETINITIS DISEMINADA;H30
H302;CICLITIS POSTERIOR;H30
H308;OTRAS CORIORRETINITIS;H30
H309;CORIORRETINITIS, NO ESPECIFICADA;H30
H31;OTROS TRASTORNOS DE LA COROIDES;NULL
H310;CICATRICES CORIORRETINIANAS;H31
H311;DESGENERACION COROIDEA;H31
H312;DISTROFIA COROIDEA HEREDITARIA;H31
H313;HEMORRAGIA Y RUPTURA DE LA COROIDES;H31
H314;DESPRENDIMIENTO DE LA COROIDES;H31
H318;OTROS TRASTORNOS ESPECIFICADOS DE LA COROIDES;H31
H319;TRASTORNO DE LA COROIDES, NO ESPECIFICADO;H31
H32;TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS OTRA PARTE;NULL
H320;INFLAMACION CORIORRETINIANA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;H32
H328;OTROS TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H32
H33;DESPRENDIMIENTO Y DESGARRO DE LA RETINA;NULL
H330;DESPRENDIMIENTO DE LA RETINA CON RUPTURA;H33
H331;RETINOSQUISIS Y QUISTES DE LA RETINA;H33
H332;DESPRENDIMIENTO SEROSO DE LA RETINA;H33
H333;DESGARRO DE LA RETINA SIN DESPRENDIMIENTO;H33
H334;DESPRENDIMIENTO DE LA RETINA POR TRACCION;H33
H335;OTROS DESPRENDIMIENTO DE LA RETINA;H33
H34;OCLUSION VASCULAR DE LA RETINA;NULL
H340;OCLUSION ARTERIAL TRANSITORIA DE LA RETINA;H34
H341;OCLUSION DE LA ARTERIA CENTRAL DE LA RETINA;H34
H342;OTRAS FORMAS DE OCLUSION DE LA ARTERIA DE LA RETINA;H34
H348;OTRAS OCLUSIONES VASCULARES RETINIANAS;H34
H349;OCLUSION VASCULAR RETINIANA, SIN OTRA ESPECIFICACION;H34
H35;OTROS TRASTORNOS DE LA RETINA;NULL
H350;RETINOPATIAS DEL FONDO Y CAMBIOS VASCULARES RETINIANOS;H35
H351;RETINOPATIA DE LA PREMATURIDAD;H35
H352;OTRAS RETINOPATIAS PROLIFERATIVAS;H35
H353;DEGENERACION DE LA MACULA Y DEL POLO POSTERIOR DEL OJO;H35
H354;DEGENERACION PERIFERICA DE LA RETINA;H35
H355;DISTROFIA HEREDITARIA DE LA RETINA;H35
H356;HEMORRAGIA RETINIANA;H35
H357;SEPARACION DE LAS CASPAS DE LA RETINA;H35
H358;OTROS TRASTORNOS ESPECIFICADOS DE LA RETINA;H35
H359;TRASTORNO DE LA RETINA, NO ESPECIFICADO;H35
H36;TRASTORNOS DE LA RETINA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H360;RETINOPATIA DIABETICA (E10-E14 CON CUARTO CARACTER COMUN .3);H36
H368;OTROS TRASTORNOS DE LA RETINA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H36
H40;GLAUCOMA;NULL
H400;SOSPECHA DE GLAUCOMA;H40
H401;GLAUCOMA PRIMARIO DE ANGULO ABIERTO;H40
H402;GLAUCOMA PRIMARIO DE ANGULO CERRADO;H40
H403;GLAUCOMA SECUNDARIO A TRAUMATISMO OCULAR;H40
H404;GLAUCOMA SECUNDARIO A INFLAMACION OCULAR;H40
H405;GLAUCOMA SECUNDARIO A OTROS TRASTORNOS DEL OJO;H40
H406;GLAUCOMA SECUNDARIO A DROGAS;H40
H408;OTROS GLAUCOMAS;H40
H409;GLAUCOMA, NO ESPECIFICADO;H40
H42;GLAUCOMA EN ENFERMEDADES CLASIFICADASIF EN OTRA PARTE;NULL
H420;GLAUCOMA EN ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS, CLASIFICADAS EN OTRA PARTE;H42
H428;GLAUCOMA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H42
H43;TRASTORNOS DEL CUERPO VITREO;NULL
H430;PROLAPSO DEL VITREO;H43
H431;HEMORRAGIA DEL VITREO;H43
H432;DEPOSITOS CRISTALINOS EN EL CUERPO VITREO;H43
H433;OTRAS OPACIDADES VITREAS;H43
H438;OTROS TRASTORNOS DEL CUERPO VITREO;H43
H439;TRASTORNOS DEL CUERPO VITREO, NO ESPECIFICADO;H43
H44;TRASTORNOS DEL GLOBO OCULAR;NULL
H440;ENDOFTALMITIS PURULENTA;H44
H441;OTRAS ENDOFTALMITIS;H44
H442;MIOPIA DEGENERATIVA;H44
H443;OTROS TRASTORNOS DEGENERATIVOS DEL GLOBO OCULAR;H44
H444;HIPOTONIA OCULAR;H44
H445;AFECCIONES DEGENERATIVAS DEL GLOBO OCULAR;H44
H446;RETENCION INTRAOCULAR DE CUERPO EXTRAÑO MAGNETICO (ANTIGUO);H44
H447;RETENCION INTRAOCULAR DE CUERPO EXTRAÑO NO MAGNETICO (ANTIGUO);H44
H448;OTROS TRASTORNOS DEL GLOBO OCULAR;H44
H449;TRASTORNO DEL GLOBO OCULAR, NO ESPECIFICADO;H44
H45;TRASTORNOS DEL CUERP VITREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H450;HEMORRAGIA DEL VITREO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H45
H451;ENDOFTALMITIS EN ENFERNEDADES CLASIFICADAS EN OTRA PARTE;H45
H458;OTROS TRASTORNOS DEL CUERPO VITREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H45
H46;NEURITIS OPTICA;NULL
H47;OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y DE LAS VIAS OPTICAS;NULL
H470;TRASTORNOS DEL NERVIO OPTICO, NO CLASIFICADOS EN OTRA PARTE;H47
H471;PAPILEDEMA, NO ESPECIFICADO;H47
H472;ATROFIA OPTICA;H47
H473;OTROS TRASTORNOS DEL DISCO OPTICO;H47
H474;TRASTORNOS DEL QUIASMA OPTICO;H47
H475;TRASTORNOS DE OTRAS VIAS OPTICAS;H47
H476;TRASTORNOS DE LA CORTEZA VISUAL;H47
H477;TRASTORNOS DE LAS VIAS OPTICAS, NO ESPECIFICADO;H47
H48;OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y DE LAS VIAS OPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H480;ATROFIA OPTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H48
H481;NEURITIS RETROBULBAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H48
H488;OTROS TRASTORNOS DEL NERVIO OPTICO Y DE LAS VIAS OPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H48
H49;ESTRABISMO PARALITICO;NULL
H490;PARALISIS DEL NERVIO MOTOR OCULAR COMUN [III PAR];H49
H491;PARALISIS DEL NERVIO PATETICO [IV PAR];H49
H492;PARALISIS DEL NERVIO MOTOR OCULAR EXTERNO [VI PAR];H49
H493;OFTALMOPLEJIA TOTAL (EXTERNA);H49
H494;OFTALMOPLEJIA EXTERNA PROGRESIVA;H49
H498;OTROS ESTRABISMOS PARALITICOS;H49
H499;ESTRABISMO PARALITICO, NO ESPECIFICADO;H49
H50;OTROS ESTRABISMOS;NULL
H500;ESTRABISMO CONCOMITANTE CONVERGENTE;H50
H501;ESTRABISMO CONCOMITANTE DIVERGENTE;H50
H502;ESTRABISMO VERTICAL;H50
H503;HETEROTROPIA INTERMITENTE;H50
H504;OTRAS HETEROTROPIAS O LAS NO ESPECIFICADAS;H50
H505;HETEROFORIA;H50
H506;ESTRABISMO MECANICO;H50
H508;OTROS ESTRABISMOS ESPECIFICADOS;H50
H509;ESTRABISMO, NO ESPECIFICADO;H50
H51;OTROS TRASTORNOS DE LOS MOVIMIENTOS BINOCULARES;NULL
H510;PARALISIS DE LA CONJUGACION DE LA MIRADA;H51
H511;EXCESO E INSUFICIENCIA DE LA CONVERGENCIA OCULAR;H51
H512;OFTALMOPLEJIA INTERNUCLEAR;H51
H518;OTROS TRASTORNOS ESPECIFICADOS DE LOS MOVIMIENTOS BINOCULARES;H51
H519;TRASTORNOS DEL MOVIMIENTO BINOCULAR, NO ESPECIFICADO;H51
H52;TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION;NULL
H520;HIPERMETROPIA;H52
H521;MIOPIA;H52
H522;ASTIGMATISMO;H52
H523;ANISOMETROPIA Y ANISEICONIA;H52
H524;PRESBICIA;H52
H525;TRASTORNOS DE LA ACOMODACION;H52
H526;OTROS TRASTORNOS DE LA REFRACCION;H52
H527;TRASTORNO DE LA REFRACCION, NO ESPECIFICADO;H52
H53;ALTERACIONES DE LA VISION;NULL
H530;AMBLIOPIA EX ANOPSIA;H53
H531;ALTERACIONES VISUALES SUBJETIVAS;H53
H532;DIPLOPIA;H53
H533;OTROS TRASTORNOS DE LA VISION BINOCULAR;H53
H534;DEFECTOS DEL CAMPO VISUAL;H53
H535;DEFICIENCIAS DE LA VISION CROMATICA;H53
H536;CEGUERA NOCTURNA;H53
H538;OTRAS ALTERACIONES VISUALES;H53
H539;ALTERACION VISUAL, NO ESPECIFICADA;H53
H54;CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL;NULL
H540;CEGUERA DE AMBOS OJOS;H54
H541;CEGUERA DE UN OJO, VISION SUBNORMAL DEL OTRO;H54
H542;VISION SUBNORMAL DE AMBOS OJOS;H54
H543;DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL EN AMBOS OJOS;H54
H544;CEGUERA DE UN OJO;H54
H545;VISION SUBNORMAL DE UN OJO;H54
H546;DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL DE UN OJO;H54
H547;DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION;H54
H55;NISTAGMO Y OTROS MOVIMIENTOS OCULARES IRREGULARES;NULL
H57;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS;NULL
H570;ANOMALIAS DE LA FUNCION PUPILAR;H57
H571;DOLOR OCULAR;H57
H578;OTROS TRASTORNOS ESPECIFICADOS DEL OJO Y SUS ANEXOS;H57
H579;TRASTORNO DEL OJO Y SUS ANEXOS, NO ESPECIFICADO;H57
H58;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;NULL
H580;ANOMALIAS DE LA FUNCION PUPILAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H58
H581;ALTERACIONES DE LA VISION EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H58
H588;OTROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H58
H59;TRASTORNOS DEL OJO Y SUS ANEXOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE;NULL
H590;SINDROME VITREO CONSECUTIVO A CIRUGIA DE CATARATA;H59
H598;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS, CONSECUTIVOS A PROCEDIMIENTOS;H59
H599;TRASTORNO NO ESPECIFICADO DEL OJO Y SUS ANEXOS, CONSECUTIVO A PROCEDIMIENTOS;H59
H60;OTITIS EXTERNA;NULL
H600;ABSCESO DEL OIDO EXTERNO;H60
H601;CELULITIS DEL OIDO EXTERNO;H60
H602;OTITIS EXTERNA MALIGNA;H60
H603;OTRAS OTITIS EXTERNAS INFECCIOSAS;H60
H604;COLESTEATOMA DEL OIDO EXTERNO;H60
H605;OTITIS EXTERNA AGUDA, NO INFECCIOSA;H60
H608;OTRAS OTITIS EXTERNAS;H60
H609;OTITIS EXTERNA, SIN OTRA ESPECIFICACION;H60
H61;OTROS TRASTORNOS DEL OIDO EXTERNO;NULL
H610;PERICONDRITIS DEL OIDO EXTERNO;H61
H611;AFECCIONES NO INFECCIOSAS DEL PABELLON AUDITIVO;H61
